timestamp,open,high,low,close,volume
2026-01-01T00:00:00Z,100.00,101.00,99.50,100.50,1000
2026-01-01T01:00:00Z,100.50,101.38,99.98,100.93,1011
2026-01-01T02:00:00Z,100.93,101.87,100.47,101.42,1022
2026-01-01T03:00:00Z,101.42,102.45,100.94,102.00,1033
2026-01-01T04:00:00Z,102.00,103.13,101.53,102.70,1044
2026-01-01T05:00:00Z,102.70,103.95,102.21,103.52,1055
2026-01-01T06:00:00Z,103.52,104.88,103.02,104.47,1066
2026-01-01T07:00:00Z,104.47,105.95,103.96,105.56,1077
2026-01-01T08:00:00Z,105.56,107.16,105.04,106.79,1088
2026-01-01T09:00:00Z,106.79,108.53,106.26,108.16,1099
2026-01-01T10:00:00Z,108.16,110.04,107.61,109.69,1110
2026-01-01T11:00:00Z,109.69,111.71,109.13,111.38,1121
2026-01-01T12:00:00Z,111.38,113.56,110.80,113.24,1132
2026-01-01T13:00:00Z,113.24,115.57,112.65,115.28,1143
2026-01-01T14:00:00Z,115.28,117.78,114.67,117.50,1154
2026-01-01T15:00:00Z,117.50,120.17,116.87,119.91,1165
2026-01-01T16:00:00Z,119.91,122.75,119.26,122.52,1176
2026-01-01T17:00:00Z,122.52,125.54,121.84,125.33,1187
2026-01-01T18:00:00Z,125.33,128.54,124.62,128.35,1198
2026-01-01T19:00:00Z,128.35,131.75,127.59,131.58,1209
2026-01-01T20:00:00Z,131.58,135.17,130.77,135.03,1220
2026-01-01T21:00:00Z,135.03,138.82,134.17,138.70,1231
2026-01-01T22:00:00Z,138.70,142.68,137.78,142.60,1242
2026-01-01T23:00:00Z,142.60,146.78,141.63,146.72,1253
2026-01-02T00:00:00Z,146.72,151.10,145.71,151.07,1264
2026-01-02T01:00:00Z,151.07,155.64,150.01,155.65,1275
2026-01-02T02:00:00Z,155.65,160.42,154.52,160.46,1286
2026-01-02T03:00:00Z,160.46,165.42,159.27,165.51,1297
2026-01-02T04:00:00Z,165.51,170.66,164.26,170.80,1308
2026-01-02T05:00:00Z,170.80,176.13,169.47,176.34,1319
2026-01-02T06:00:00Z,176.34,181.85,174.93,182.12,1330
2026-01-02T07:00:00Z,182.12,187.80,180.63,188.15,1341
2026-01-02T08:00:00Z,188.15,194.00,186.57,194.43,1352
2026-01-02T09:00:00Z,194.43,200.36,192.77,200.96,1363
2026-01-02T10:00:00Z,200.96,207.05,199.22,207.75,1374
2026-01-02T11:00:00Z,207.75,214.00,205.93,214.80,1385
2026-01-02T12:00:00Z,214.80,221.21,212.89,222.11,1396
2026-01-02T13:00:00Z,222.11,228.68,220.11,229.68,1407
2026-01-02T14:00:00Z,229.68,236.40,227.60,237.50,1418
2026-01-02T15:00:00Z,237.50,244.36,235.31,245.57,1429
2026-01-02T16:00:00Z,245.57,252.58,243.29,253.88,1440
2026-01-02T17:00:00Z,253.88,261.02,251.50,262.43,1451
2026-01-02T18:00:00Z,262.43,269.70,259.93,271.20,1462
2026-01-02T19:00:00Z,271.20,278.59,268.61,280.18,1473
2026-01-02T20:00:00Z,280.18,287.69,277.48,289.36,1484
2026-01-02T21:00:00Z,289.36,296.98,286.55,298.73,1495
2026-01-02T22:00:00Z,298.73,306.45,295.80,308.28,1506
2026-01-02T23:00:00Z,308.28,316.10,305.23,317.99,1517
2026-01-03T00:00:00Z,317.99,325.90,314.82,327.86,1528
2026-01-03T01:00:00Z,327.86,335.85,324.57,337.87,1539
